Date,Open,High,Low,Close,Volume,MA_30,Daily_Return
2015-05-02,232.34,235.73,232.34,234.93,12535500,234.383,0.012280248190279286
2015-05-03,234.88,243.24,234.08,240.36,18494100,233.91766666666666,0.0231132677818926
2015-05-04,240.36,242.64,237.81,239.02,21223400,233.42833333333334,-0.00557497087701786
2015-05-05,238.85,239.20,232.05,236.12,23929100,232.61233333333334,-0.012132875909965701
2015-05-06,236.25,236.45,229.23,229.78,29587200,231.75533333333334,-0.02685075385397262
2015-05-07,229.66,239.10,228.57,237.33,29064400,231.22699999999998,0.03285751588475949
2015-05-08,237.20,246.27,236.27,243.86,27445500,231.18833333333336,0.027514431382463345
2015-05-09,243.77,247.80,239.64,241.83,19790500,231.12666666666667,-0.00832444845403102
2015-05-10,241.73,244.07,238.85,240.3,15019100,231.26766666666668,-0.006326758466691507
2015-05-11,240.30,244.27,239.38,242.16,20892300,231.45466666666667,0.007740324594257109
2015-05-12,242.15,242.88,240.10,241.11,19282600,231.62,-0.004335976214073223
2015-05-13,241.40,243.70,235.04,236.38,27180100,232.013,-0.01961760192443296
2015-05-14,236.21,237.80,234.06,236.93,24413700,232.60533333333336,0.002326761993400428
2015-05-15,236.96,238.75,236.79,237.6,16329400,233.06433333333334,0.00282783944624998
2015-05-16,237.64,237.70,235.29,236.15,11089700,233.317,-0.006102693602693554
2015-05-17,236.01,238.02,236.01,236.8,11134300,233.78099999999998,0.002752487825534722
2015-05-18,236.89,237.21,232.46,233.13,16780300,234.10666666666665,-0.015498310810810878
2015-05-19,233.04,234.15,231.82,231.95,14241900,234.41833333333332,-0.005061553639600258
2015-05-20,231.89,234.68,231.84,234.02,15499400,234.73133333333334,0.008924337141625438
2015-05-21,234.02,236.24,233.84,235.34,15108900,234.73366666666666,0.005640543543286913
2015-05-22,235.32,240.97,235.06,240.35,27003000,234.9393333333333,0.021288348771989485
2015-05-23,240.29,241.02,238.69,238.87,14605000,235.01966666666667,-0.006157686706885768
2015-05-24,238.98,241.98,238.81,240.95,11508000,235.34233333333336,0.008707665257252861
2015-05-25,240.93,241.02,236.64,237.11,14423900,235.69966666666667,-0.015936916372691345
2015-05-26,237.10,238.24,235.69,237.12,16425000,236.28933333333333,4.217451815602402e-05
2015-05-27,237.07,238.64,236.70,237.28,18837000,236.55566666666667,0.0006747638326585204
2015-05-28,237.26,237.82,236.65,237.41,13829600,236.941,0.0005478759271746458
2015-05-29,237.38,237.52,235.73,237.1,14805000,237.31733333333332,-0.0013057579714418344
2015-05-30,237.09,237.09,232.05,233.35,14098600,237.22400000000002,-0.015816111345423822
2015-05-31,233.13,233.25,229.54,230.19,14730800,237.161,-0.013541889865009593
2015-06-01,230.23,231.71,221.30,222.93,26090500,236.761,-0.03153916329988271
2015-06-02,222.89,226.42,222.42,225.8,20459000,236.2756666666667,0.012873996321715264
2015-06-03,225.74,227.40,223.93,225.87,17752400,235.83733333333333,0.0003100088573959603
2015-06-04,225.77,226.58,224.05,224.32,14728100,235.444,-0.006862354451675823
2015-06-05,224.15,225.97,223.18,224.95,18056500,235.283,0.002808487874464971
2015-06-06,225.01,225.72,224.38,225.62,11131500,234.89266666666668,0.002978439653256393
2015-06-07,225.60,226.19,222.65,222.88,13318400,234.1933333333333,-0.012144313447389421
2015-06-08,222.88,229.46,222.84,228.49,23378400,233.74866666666668,0.025170495333811882
2015-06-09,228.54,230.95,227.93,229.05,28353100,233.37366666666668,0.00245087312355019
2015-06-10,228.99,229.78,228.01,228.8,15904800,232.9283333333333,-0.001091464745688664
2015-06-11,228.85,230.29,228.77,229.71,14416000,232.54833333333332,0.003977272727272663
2015-06-12,229.71,231.06,229.31,229.98,14017700,232.335,0.001175395063340634
2015-06-13,229.92,232.65,229.21,232.4,13305300,232.184,0.010522654143838572
2015-06-14,232.44,234.86,232.00,233.54,12165900,232.04866666666666,0.004905335628227148
2015-06-15,233.42,237.84,233.42,236.82,19912100,232.071,0.014044703262824365
2015-06-16,236.76,251.74,236.12,250.9,41612000,232.54100000000003,0.05945443796976613
2015-06-17,250.82,256.85,246.48,249.28,43858400,233.07933333333332,-0.006456755679553616
2015-06-18,249.43,252.11,244.13,249.01,30980200,233.64800000000002,-0.0010831193838254372
2015-06-19,249.04,250.98,243.79,244.61,23965300,234.001,-0.017669973093449975
2015-06-20,244.53,245.83,240.63,245.21,20608100,234.32999999999998,0.002452884182985171
2015-06-21,245.10,245.22,241.88,243.94,10600900,234.4496666666667,-0.005179234125851306
2015-06-22,243.97,247.92,243.78,246.99,17692500,234.72033333333331,0.012503074526522884
2015-06-23,246.93,247.30,243.13,244.3,15108700,234.832,-0.010891129195513938
2015-06-24,244.28,244.34,240.51,240.51,17344900,234.94533333333337,-0.015513712648383193
2015-06-25,240.37,243.33,240.37,242.8,16133100,235.13466666666667,0.00952143362022384
2015-06-26,242.60,243.75,241.55,243.59,13983500,235.34499999999997,0.0032537067545304055
2015-06-27,243.55,251.34,243.12,250.99,20488600,235.79766666666666,0.030378915390615324
2015-06-28,250.96,251.17,247.43,249.01,15137600,236.19466666666668,-0.007888760508386827
2015-06-29,248.72,257.17,248.58,257.06,34742900,236.985,0.0323280189550621
2015-06-30,257.04,267.87,255.95,263.07,44533800,238.08100000000002,0.02337975569905848
2015-07-01,263.35,265.17,255.77,258.62,27029800,239.27066666666667,-0.01691564982704219
2015-07-02,258.55,261.63,254.12,255.41,21551900,240.25766666666667,-0.012412033098754938
2015-07-03,255.46,257.08,253.51,256.34,19033800,241.27333333333334,0.003641204338122872
2015-07-04,256.49,261.46,254.20,260.89,15620400,242.49233333333333,0.017749863462588777
2015-07-05,260.80,274.51,258.70,271.91,44156100,244.05766666666668,0.042240024531411846
2015-07-06,271.11,277.42,267.60,269.03,49154800,245.50466666666665,-0.010591739913942355
2015-07-07,269.96,271.34,264.83,266.21,28857600,246.949,-0.0104821023677657
2015-07-08,265.98,272.97,264.39,270.79,36980200,248.35899999999998,0.017204462642275153
2015-07-09,270.83,272.33,267.09,269.23,40301200,249.69833333333332,-0.005760921747479553
2015-07-10,269.16,294.59,268.80,284.89,100390000,251.568,0.058165880473944
2015-07-11,284.88,298.51,283.53,293.11,41109900,253.68133333333336,0.028853241602021962
2015-07-12,293.14,314.39,292.51,310.87,56405000,256.37766666666664,0.060591586776295614
2015-07-13,310.83,310.95,281.01,292.05,62053900,258.36600000000004,-0.06053977546884548
2015-07-14,292.03,296.15,286.64,287.46,28727200,260.16333333333336,-0.015716486902927707
2015-07-15,288.05,293.25,285.37,285.83,27486600,261.79699999999997,-0.005670354136227629
2015-07-16,286.04,291.18,275.24,278.09,49482600,262.7033333333333,-0.027079032991638385
2015-07-17,278.09,280.28,272.04,279.47,27591400,263.7096666666667,0.004962422237405395
2015-07-18,279.33,282.53,274.08,274.9,25187100,264.5726666666667,-0.016352381293162188
2015-07-19,274.77,275.67,272.51,273.61,15332500,265.53933333333333,-0.004692615496544095
2015-07-20,273.50,278.98,272.96,278.98,22711400,266.665,0.019626475640510233
2015-07-21,278.88,280.55,275.42,275.83,22930700,267.728,-0.011291131980787239
2015-07-22,275.66,277.67,274.38,277.22,19389800,268.73566666666665,0.005039335822789592
2015-07-23,277.34,278.11,275.72,276.05,18531300,269.794,-0.004220474713224176
2015-07-24,276.01,289.25,275.25,288.28,37199400,271.3863333333333,0.044303568194167475
2015-07-25,288.16,290.73,286.00,288.7,20662200,272.91633333333334,0.0014569168863605153
2015-07-26,288.64,293.05,287.71,292.69,16032300,274.553,0.013820574991340484
2015-07-27,292.64,297.77,287.45,293.62,30592000,275.97400000000005,0.0031774232122723234
2015-07-28,293.63,296.65,293.42,294.43,25453600,277.488,0.0027586676656903286
2015-07-29,294.48,294.54,288.78,289.59,24672600,278.57233333333335,-0.016438542268111367
2015-07-30,289.10,290.13,286.57,287.72,21635800,279.394,-0.006457405297144003
2015-07-31,287.70,288.96,282.34,284.65,23629100,280.26166666666666,-0.010670095926595513
2015-08-01,284.69,284.93,278.11,281.6,18995000,281.1346666666667,-0.010714913051115271
2015-08-02,280.45,283.03,277.53,282.61,17722200,282.01033333333334,0.003586647727272796
2015-08-03,282.81,285.47,280.23,281.23,21474100,282.6883333333334,-0.004883054385902863
